word;literary;abstract;objective;colloquial;concrete;subjective
dipshit;;;;x;;x
spectacular;;;;;;x
definitive;;;x;;;
sociology;;x;;;;
stupid;;;;x;;x
shithead;;;;x;;x
contrivance;;;x;;;
ascribe;;;x;;;
raiment;x;;;;;
handsome;;;;;x;x
douche;;;;x;x;x
portable;;;;;;
reciprocal;;;x;;;
economy;;x;;;;
blow;;;;;x;
invariable;;;x;;;
leg;;;;;x;
conception;;;x;;;
flower;;;;;x;
word;literary;abstract;objective;colloquial;concrete;subjective
allegory;x;;;;;
outcome;;;x;;;
kk;;;;x;;
desirable;;;x;;;x
dissuade;;;x;;;
brazen;x;;;;;x
anal-retentive;;;;x;;x
equivocation;;x;x;;;
inventory;;;;;x;
freebie;;;;x;;x
smash;;;;;x;
religion;;x;;;;
whip;;;;;x;
clarification;;;x;;;
disinclined;;;x;;;
devastating;;;;;;x
consume;;;x;;;
extenuate;;x;x;;;
occupied;;;x;;;
defile;x;;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
deportment;;x;x;;;
sovereignty;;x;;;;
objective;;x;x;;;
ppl;;;;x;;
jowls;;;;;x;
component;;;x;;;
alter;;;x;;;
originate;;;x;;;
apprehend;;;x;;;x
intelligent;;;x;;;x
meticulous;;x;x;;;x
diplomatic;;x;x;;;
unchangeable;;;x;;;x
splash;;;;;x;
barf;;;;x;;x
wolf;;;;;x;
disparage;;x;x;;;
wagon;;;;;x;
commentary;;;x;;;
engaging;;;x;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
regal;x;x;;;;
preposterous;;;;;;x
slice;;;;;x;
discuss;;;;;x;
rip;;;;;x;
exult;x;;;;;x
fabulous;x;;;;;x
luscious;x;;;;;x
revel;x;;;;;x
harrowing;;;x;;;
disheartened;;;x;;;x
zenith;;;;;;
ya;;;;x;;
woulda;;;;x;;
excursion;;;x;;;
require;;;x;;;
rechargeable;;;x;;;
pharmaceutical;;x;;;;
shout;;;;;x;x
decrease;;;x;;;
word;literary;abstract;objective;colloquial;concrete;subjective
predominant;;;x;;;
ethos;;x;x;;;
poop;;;;x;x;x
guarantee;;x;;;;
dainty;;;;;;x
interior;;;x;;x;
raccoon;;;;;x;
elephant;;;;;x;
earnest;;;;;;x
impale;x;;;;x;
bounce;;;;;x;
disillusioned;;;x;;;x
doggerel;x;;;;;x
administer;;x;x;;;
observance;;x;x;;;
suggestible;;;x;;;
fridge;;;;x;x;
accredit;;x;x;;;
cop;;;;x;;
bracelet;;;;;x;
word;literary;abstract;objective;colloquial;concrete;subjective
cocky;;;;x;;x
premium;;;;;;x
psycho;;;;x;;x
prerogative;;;x;;;
frat;;;;x;x;
geography;;x;;;;
sophism;;x;;;;x
cruel;;;;;;x
buck;;;;x;;
streamlined;;;x;;;
sexy;;;;x;;x
integrity;;x;x;;;
sink;;;;;x;
melt;;;;;x;
door;;;;;x;
happy;;;;;;x
all-nighter;;;;x;;
hostility;;;x;;;
signification;;;x;;;
well-developed;;x;;;;x
word;literary;abstract;objective;colloquial;concrete;subjective
divine;;x;;;;x
poo;;;;x;x;x
immaterial;;;x;;;
tortured;;x;;;;
chase;;;;;x;
swim;;;;;x;
angelic;;;;;;x
purloin;x;;;;;
bane;x;;;;;
accomplishment;;x;;;;
valiant;x;;;;;
spit;;;;x;;x
